year,locality_id,id,ALAN_median,ALAN_sd
2021,L3007886,2,0.163274872,0.050815276
2021,L6700798,3,21.36121892,20.20911928
2021,L3007699,4,53.04869025,32.86578527
2021,L2555832,13,2.779852252,2.887182322
2021,L2537440,17,4.547844356,4.725218542
2021,L15045033,30,9.751854069,6.170800294
2021,L5972966,33,3.027267155,2.8936765
2021,L3117544,39,1.631787485,2.197501167
2021,L14208642,51,0.25391291,0.112299986
2021,L2903184,57,6.465144246,6.43804895
2021,L14389229,106,4.746185341,3.987172854
2020,L10441662,109,1.958831601,1.331689712
2020,L2556768,149,9.270606586,9.040117077
2020,L5972966,33,3.027267155,2.8936765
2021,L15722545,172,16.7725172,8.992488858
2020,L2537440,17,4.547844356,4.725218542
2021,L1314793,81,7.852061568,8.050384487
2021,L7968585,257,3.084377867,2.429538501
2021,L3005361,276,1.844972862,1.824770645
2021,L14543914,312,3.161605614,3.460361884
2020,L6809388,321,1.672748384,1.031299029
2020,L6700798,3,21.36121892,20.20911928
2021,L2557020,37,5.90565003,4.043762312
2021,L14546080,360,2.493453369,2.162529772
2021,L12607371,376,3.693659172,3.221676556
2021,L3580186,406,3.481090312,3.424624421
2021,L2553771,375,2.319227661,1.704650054
2021,L13981785,497,4.181980459,3.724214148
2020,L2553771,375,2.319227661,1.704650054
2021,L7742542,543,7.64921623,7.392707719
2020,L10976656,611,7.920399674,8.137840681
2021,L15395125,633,0.193648811,0.029720275
2020,L9416893,645,3.787548084,4.098786296
2021,L12595329,680,0.418106573,0.092752151
2020,L10461673,693,0.237585943,0.155217723
2020,L2822695,697,0.287845484,0.159089937
2020,L8095943,698,0.159760746,0.026196944
2020,L2555931,712,14.70441496,3.568353548
2020,L10877763,713,1.288889832,1.247149357
2020,L2542609,222,0.687911881,0.327501142
2020,L2555832,13,2.779852252,2.887182322
2021,L14224198,732,1.072949619,0.504266549
2020,L1357612,10,6.793551243,6.467682138
2020,L3007644,741,3.542537239,2.652677129
2020,L10496376,742,3.550214665,3.594497319
2020,L5656077,746,2.450911495,2.516461596
2020,L5816824,370,21.34360052,10.7514367
2020,L2562185,371,4.579028473,4.134871299
