year,locality_id,id,ALAN_median,ALAN_sd
2021,L3007886,2,0.163274872,0.050815276
2021,L6700798,3,21.36121892,20.20911928
2021,L3007699,5,53.04869025,32.86578527
2021,L2555832,17,2.779852252,2.887182322
2021,L2701458,20,6.921393408,8.262789314
2021,L2537440,23,4.547844356,4.725218542
2021,L15045033,36,9.751854069,6.170800294
2021,L5972966,39,3.027267155,2.8936765
2021,L2558660,46,6.268020386,4.966991771
2020,L7230458,58,3.629933123,4.396097924
2021,L2903184,65,6.465144246,6.43804895
2021,L2557088,72,9.284732358,8.034716078
2021,L3831887,81,3.576286183,2.964823197
2021,L14389229,122,4.746185341,3.987172854
2020,L10441662,126,1.958831601,1.331689712
2020,L2556768,165,9.270606586,9.040117077
2020,L2557088,72,9.284732358,8.034716078
2020,L2556908,178,6.406847801,4.596414246
2020,L5972966,39,3.027267155,2.8936765
2021,L15722545,193,16.7725172,8.992488858
2020,L2537440,23,4.547844356,4.725218542
2021,L1314793,91,7.852061568,8.050384487
2021,L7968585,283,3.084377867,2.429538501
2021,L14543914,341,3.161605614,3.460361884
2020,L6809388,351,1.672748384,1.031299029
2020,L6700798,3,21.36121892,20.20911928
2021,L12607371,409,3.693659172,3.221676556
2021,L3580186,442,3.481090312,3.424624421
2021,L2553771,408,2.319227661,1.704650054
2020,L2701458,20,6.921393408,8.262789314
2021,L13981785,539,4.181980459,3.724214148
2020,L2553771,408,2.319227661,1.704650054
2021,L15395125,672,0.193648811,0.029720275
2021,L13534472,676,3.110546957,3.012879926
2021,L12595329,729,0.418106573,0.092752151
2020,L10461673,739,0.237585943,0.155217723
2020,L2822695,743,0.287845484,0.159089937
2020,L8095943,744,0.159760746,0.026196944
2020,L2563248,147,0.146660704,0.066832254
2020,L2555931,753,14.70441496,3.568353548
2020,L10877763,754,1.288889832,1.247149357
2020,L2555832,17,2.779852252,2.887182322
2021,L14224198,773,1.072949619,0.504266549
2020,L1357612,12,6.793551243,6.467682138
2020,L3007644,782,3.542537239,2.652677129
2021,L2596484,110,0.992996511,0.546596199
2020,L10496376,783,3.550214665,3.594497319
2020,L2596484,110,0.992996511,0.546596199
