species,estimate,std.error,statistic,p.value,conf.low,conf.high,Response
Brahminy Kite,0.042733581421371084,0.0016169055449428713,26.42953286339439,3.6039945567381774e-139,0.03956450478687995,0.045902658055862224,Urban Tolerant
Peregrine Falcon,0.03686967271295473,0.001396502273089989,26.401653748748767,2.683379069592955e-149,0.03413257855337003,0.039606766872539424,Urban Tolerant
Australian Hobby,0.035791451625636996,0.0010424751983753768,34.33319509648449,1.4368147413290675e-253,0.033748237782045006,0.03783466546922898,Urban Tolerant
Brown Goshawk,0.035031294307999034,7.451482717144278e-4,47.01278395322349,0,0.03357083053229649,0.03649175808370157,Urban Tolerant
Eastern Barn Owl,0.03466496499021569,0.003818683971232564,9.081138627402076,6.593802758177476e-18,0.027180481938259476,0.0421494480421719,Urban Tolerant
Collared Sparrowhawk,0.0301759558609873,0.001123899112163303,26.849412263925295,8.644006440910094e-156,0.027973154078890682,0.032378757643083914,Urban Tolerant
Barking Owl,0.029539327782457655,0.004635583837573219,6.3726167103870734,2.6209484960369613e-10,0.020453750413498176,0.03862490515141714,Urban Tolerant
Powerful Owl,0.025245102917630772,0.002554296274144226,9.88340049769267,6.257053450010073e-22,0.02023877421446324,0.0302514316207983,Urban Tolerant
Pacific Baza,0.019811746967222814,0.00241830472831183,8.192968788856724,2.475125392778334e-15,0.015071956796088708,0.024551537138356918,Urban Tolerant
Black-shouldered Kite,0.01376221434740209,0.0011747511851258937,11.715114173439444,6.449505832489444e-31,0.011459744333759594,0.016064684361044586,Urban Tolerant
Little Eagle,0.0131271173901455,0.0018860686392803317,6.9600419686947275,4.487298550019919e-12,0.009430490784785583,0.016823743995505416,Urban Tolerant
Eastern Osprey,0.008407386081543275,0.001493599323663965,5.629058693263393,2.7841197704014992e-8,0.0054799851998285215,0.011334786963258028,Urban Tolerant
Grey Goshawk,0.006204403324363673,0.0021165216233962115,2.9317825438274574,0.0038437951114974975,0.0020560971700068513,0.010352709478720495,Urban Tolerant
Southern Boobook,-7.544462289810234e-4,0.0021195214013641148,-0.355670542394936,0.7236312231502104,-0.004908631840116552,0.0033997393821545057,Urban Avoidant
Swamp Harrier,-0.003917486520877742,0.0013336746353517055,-2.9371192573040834,0.0040291777845814095,-0.006531440773261675,-0.001303532268493811,Urban Avoidant
Nankeen Kestrel,-0.00830677851832522,0.0010647026212961554,-7.8013207923294665,1.2019154998451917e-13,-0.010393557310311073,-0.0062199997263393675,Urban Avoidant
Black Kite,-0.009797627916058867,0.0016029388374719066,-6.11070260254032,7.7151378283242135e-08,-0.012939330306924308,-0.006655925525193428,Urban Avoidant
White-bellied Sea-Eagle,-0.0161239739643958,0.0012817238850165334,-12.579677311432558,3.852480136794675e-35,-0.018636106617152964,-0.013611841311638638,Urban Avoidant
Black Falcon,-0.030568474980010384,0.006916349578898961,-4.419428978077324,1.0376786728982667e-5,-0.044124271059141115,-0.017012678900879652,Urban Avoidant
Spotted Harrier,-0.03148415633392968,0.004932260439051808,-6.383152163947351,1.868479848415342e-10,-0.04115120915684294,-0.021817103511016428,Urban Avoidant
Whistling Kite,-0.032010293732964656,0.0010358364993841834,-30.90262632249378,6.031170404368139e-205,-0.0340404959656297,-0.029980091500299608,Urban Avoidant
Square-tailed Kite,-0.039819771018867064,0.004381150168286884,-9.088797310872348,1.145289224057518e-19,-0.04840666755957095,-0.031232874478163176,Urban Avoidant
Brown Falcon,-0.06244861883224032,0.0023364579080324536,-26.727453312817417,1.1693865594725164e-152,-0.06702799218337772,-0.057869245481102914,Urban Avoidant
Wedge-tailed Eagle,-0.0799701159375219,0.002058689400598638,-38.84492296628616,0,-0.08400507301804959,-0.07593515885699423,Urban Avoidant
